,82M101M39M18,82M101M39M24,82M101M39M19,82M101M39M21,82M101M39M20,82M101M39M22,82M101M39M23,82M101M39M1,82M101M39M3,82M101M39M2,82M101M39M6,82M101M39M7,82M101M39M5,82M101M39M4,82M101M39M9,82M101M39M8,82M101M39M12,82M101M39M13,82M101M39M11,82M101M39M10,82M101M39M14,82M101M39M15,82M101M39M17,82M101M39M16
2018-09-30,0.17987787711381373,0.20969225071325412,0.6260060030381871,0.9469093869799974,0.08568985870168977,0.3693049080295808,0.11979572260907506,0.3155248373610217,0.32150785514188396,0.1438962933094038,0.39696810091115153,0.1116449185546784,0.232604657000167,0.34039435931584355,0.23609016984985967,0.4431255656922357,0.48208066934839616,0.29154202985865624,0.2725787768127593,0.4399733156757453,0.47262792905825357,0.3097173187157693,0.2797749415587857,0.21635622670914492
2018-10-01,0.3022503382357718,0.4283935028313617,0.35621592177214867,0.983437247115545,0.15260063023548698,0.11572871699437846,0.3775672891841764,0.04805399617301211,0.10724826674066046,0.1292669341265192,0.16076517847014563,0.36649651590940213,0.31676027598872236,0.06877897275845209,0.09882964703849152,0.10257970548787637,0.4699454656394171,0.756114491700871,0.09269145810574532,0.12815221266166468,0.34795748118984476,0.5160205594625646,0.3248909884666767,0.06754947702156545
2018-10-02,0.16260036606609507,0.46133802363942655,0.6681521860358165,0.9604299895706415,0.2960345860505572,0.3315795860010887,0.2742033214354399,0.37757559667702173,0.48645188717113763,0.3901827303242078,0.4357003216215163,0.18858411391724497,0.4656301307904658,0.5223502643933651,0.25547854047762053,0.5076923869620132,0.18386661428519444,0.30038005305000953,0.43367262303598936,0.5246831373076142,0.6699177572108674,0.095018161494114,0.32393682466266327,0.2537904213332571
2018-10-03,0.3293652284004108,0.4719005520548326,0.6788719933576456,0.9174392621479919,0.3353794602012739,0.4438626231560463,0.3443661519106593,0.1609835493781724,0.20560969288493083,0.1416798695943013,0.1943604374198058,0.33429652478714955,0.7002348526212846,0.1727898106281785,0.3085620023496584,0.6229667337466288,0.21006722090754842,0.27818670898196096,0.41456440626100155,0.4392164064282068,0.5392451003673224,0.22696273626535765,0.4912808292837784,0.2958697989123605
2018-10-04,0.6081432041060655,0.47593654061415286,0.35361378848616143,0.9900783896404638,0.20718695567170112,0.2414533120943126,0.5646947727598997,0.029389048623655666,0.1227903284981812,0.16960112946770947,0.027921651262950705,0.08161695700159648,0.2240641680275275,0.3842888724547175,0.14170335740935716,0.13519567840519828,0.7042704005206525,0.7870825496401116,0.05999767746090856,0.4655602764150369,0.1903367130345591,0.6872471934915763,0.15306823481070667,0.3920086145602279
2018-10-05,0.4132989089101428,0.2444942109011691,0.18156874293248992,0.9813408889448764,0.22187000344799368,0.2344343154784596,0.3666797170146564,0.22851636010803134,0.12210213033119659,0.20880278111105952,0.1593454749176185,0.03291642207921613,0.05339194828190596,0.3077883755695806,0.4213016952622132,0.028796944870697592,0.38018554810396354,0.5471377116447552,0.12619942032027648,0.29025981980841137,0.29052346255208755,0.4111366313705852,0.1488900736231108,0.19457427291840607
2018-10-06,0.10890344264613265,0.4052872217645648,0.7772595586741728,0.946389077147851,0.09762850541990843,0.41428122285417257,0.1892372573200888,0.2298232382023039,0.2340447066502416,0.1275696729854097,0.5104035017616998,0.07569312041366921,0.08398030293345715,0.09738176316378093,0.24135115268290028,0.15457219513447462,0.27492861814722064,0.3947027599722957,0.21892888998579793,0.27487636048711334,0.3631975249249041,0.156570109348969,0.13473961650841987,0.33083783136090283
2018-10-07,0.14188517681347887,0.23461707546877403,0.7503300476711802,0.9165957098268463,0.19886618360187602,0.3855397497795216,0.06419700297216624,0.19997504966751634,0.16022934562782243,0.13826871004686797,0.20031610433423416,0.29273460408197033,0.44062875402177326,0.2531712819369594,0.15995951125479743,0.10274625092964038,0.3886859960145517,0.18946939834175452,0.1773217433577711,0.1893710374835322,0.5102028138438701,0.36312284398161565,0.21655704742507464,0.17589562231652386
2018-10-08,0.3170009788151059,0.5368971925518797,0.5936874717974161,0.9061829881991851,0.23172130723350176,0.42205954370206844,0.3909135916972275,0.572604556552934,0.5470291099464122,0.419286141946704,0.46265323585433826,0.5783401060273048,0.6198843763635006,0.6251815349806523,0.3892283992118773,0.7183577605524221,0.19244962848290403,0.29042218629019706,0.4312669870959807,0.5860247080699704,0.6641213864573249,0.4955211523688433,0.6320320692319218,0.4807626569330551
2018-10-09,0.27930579518862386,0.23044283712184005,0.08862432760362156,0.9775231420205842,0.25947730440530403,0.09721803646228122,0.30776663416565947,0.0321370471429797,0.10281784038025928,0.07673881076325065,0.1996271564654436,0.47216984987688393,0.3240650100285334,0.019811732886180402,0.07963279517999212,0.1678236129478926,0.3805811647856719,0.6954034158578389,0.08821618384261068,0.19596390454285187,0.3275064040500063,0.35968229241763927,0.19521723648679778,0.35064755292999134
